                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0749,                0.63769,                 1.0276,                0.66237,                0.45403,                0.52722,                0.35596,                 1.0831,                 0.6248,                 1.0415,               0.001189,               0.001189,               0.001189
                     91,                 1.0941,                0.61895,                 1.0294,                  0.641,                0.46118,                0.52524,                0.35354,                 1.0838,                0.62489,                 1.0419,                0.00109,                0.00109,                0.00109
                     92,                 1.0825,                0.61129,                 1.0218,                0.63784,                0.46213,                0.52444,                0.35322,                 1.0849,                 0.6253,                 1.0423,               0.000991,               0.000991,               0.000991
                     93,                 1.0821,                0.60865,                 1.0228,                0.64113,                0.46043,                0.52407,                0.35305,                 1.0851,                0.62557,                 1.0423,               0.000892,               0.000892,               0.000892
                     94,                 1.0782,                0.60332,                 1.0218,                 0.6409,                0.46138,                0.52351,                0.35387,                 1.0851,                0.62548,                 1.0422,               0.000793,               0.000793,               0.000793
                     95,                 1.0764,                0.60354,                 1.0217,                0.63577,                0.45867,                0.52353,                0.35394,                  1.085,                0.62519,                 1.0422,               0.000694,               0.000694,               0.000694
                     96,                 1.0715,                0.59805,                 1.0176,                 0.6024,                0.47849,                0.52254,                 0.3536,                 1.0856,                 0.6255,                  1.042,               0.000595,               0.000595,               0.000595
                     97,                 1.0709,                0.59822,                 1.0168,                0.59241,                0.48298,                0.52239,                0.35391,                 1.0856,                0.62563,                 1.0418,               0.000496,               0.000496,               0.000496
                     98,                 1.0686,                0.59591,                 1.0162,                0.59157,                0.48573,                0.52283,                0.35331,                 1.0854,                0.62554,                 1.0415,               0.000397,               0.000397,               0.000397
                     99,                 1.0711,                0.59568,                 1.0169,                0.58834,                0.48937,                0.52321,                0.35359,                 1.0854,                0.62538,                 1.0413,               0.000298,               0.000298,               0.000298
                    100,                 1.0677,                0.59388,                 1.0151,                0.59894,                0.48319,                0.52368,                0.35307,                 1.0854,                0.62572,                 1.0412,               0.000199,               0.000199,               0.000199
